row_id,claim_id,support_status,table,evidence_type,paper,citation,page_number,text,paper_title,year,journal,doi,source
E35,C35,SUPPORTED,results,result,P2,P2 p2,2,"et al., 2012; Marko et al., 2012; Martiny et al., 2012; Alby Microbial identification is achieved by comparing the observed et al., 2013; Karpanoja et al., 2014; Mather et al., 2014; spectrum with those stored in a database",Recent Advances and Ongoing Challenges in the Diagnosis of Microbial Infections by MALDI-TOF Mass Spectrometry,2018,Frontiers in Microbiology,10.3389/fmicb.2018.01097,10.3389/fmicb.2018.01097
E36,C36,SUPPORTED,results,result,P2,P2 p2,2,"However, the results of several studies suggest that the addition of spectra of successfully identified clinical isolates lower score cut-off values might be applied for identification of into commercial databases (Seng et al., 2009; Fern�ndez-Olmos many bacterial species without compromising accuracy (Richter et al., 2012; Nomura, 2015; Carrasco et al., 2016; Mar�n et al., et al., 2012; Szabados et al., 2012; Barnini et al., 2015), and 2017)",Recent Advances and Ongoing Challenges in the Diagnosis of Microbial Infections by MALDI-TOF Mass Spectrometry,2018,Frontiers in Microbiology,10.3389/fmicb.2018.01097,10.3389/fmicb.2018.01097
E37,C37,SUPPORTED,results,result,P2,P2 p2,2,"isolates, and highly reliable ID results can be achieved by database incorporation of spectra of ascertained microbial With the Vitek MS system (bioM�rieux, Marcy-l'�toile, species, including rare bacterial species (Seng et al., 2013)",Recent Advances and Ongoing Challenges in the Diagnosis of Microbial Infections by MALDI-TOF Mass Spectrometry,2018,Frontiers in Microbiology,10.3389/fmicb.2018.01097,10.3389/fmicb.2018.01097
E38,C38,SUPPORTED,results,result,P2,P2 p2,2,"However, for microorganisms with complex cell wall composition such as Mycobacterium spp., the IDENTIFICATION OF BACTERIA accuracy of identification is often sub-optimal (Cao et al., 2018), and specific pretreatment may be required for protein extraction Conventional microbiological methods for bacterial before MALDI-TOF MS analysis can be effectively performed identification involve culture, microscopic examination and (Park et al., 2016; Moreno et al., 2018)",Recent Advances and Ongoing Challenges in the Diagnosis of Microbial Infections by MALDI-TOF Mass Spectrometry,2018,Frontiers in Microbiology,10.3389/fmicb.2018.01097,10.3389/fmicb.2018.01097
E39,C39,SUPPORTED,results,result,P2,P2 p2,2,"These procedures can be accurate and of some bacterial species may be still problematic, especially for reliable, at least for most of classical microbial pathogens, Gram-positive bacteria such as Streptococcus pneumoniae and but they are also time consuming, laborious, and require members of the Streptococcus oralis/mitis group (Mar�n et al., specifically trained personnel for correct interpretation of results",Recent Advances and Ongoing Challenges in the Diagnosis of Microbial Infections by MALDI-TOF Mass Spectrometry,2018,Frontiers in Microbiology,10.3389/fmicb.2018.01097,10.3389/fmicb.2018.01097
E40,C40,SUPPORTED,results,result,P2,P2 p3,3,"Microbial identification in polymicrobial samples by MALDI- significantly, compared to reporting ID results alone (Huang TOF MS is also challenging, though some studies have shown that et al., 2013; Nagel et al., 2014; Perez et al., 2014; Lockwood et al., can be feasible (Mahe et al., 2014; Sakarikou et al., 2018)",Recent Advances and Ongoing Challenges in the Diagnosis of Microbial Infections by MALDI-TOF Mass Spectrometry,2018,Frontiers in Microbiology,10.3389/fmicb.2018.01097,10.3389/fmicb.2018.01097
E41,C41,SUPPORTED,results,result,P3,P3 p2,2,"microbiologists since it was a laborious, hands-on method, even after ready availability of precast commercially produced gels and Mass Spectrometry improved gel analysis softwares (Cash, 2009)",MALDI-TOF mass spectrometry: an emerging technology for microbial identification and diagnosis,2015,Frontiers in Microbiology,10.3389/fmicb.2015.00791,10.3389/fmicb.2015.00791
E42,C42,SUPPORTED,results,result,P3,P3 p2,2,"Analysis of cellular proteome is a method which occupies an However, the development of electron spray ionization (ESI) and intermediary position with respect to the phenotypic�genotypic matrix assisted laser desorption ionization (MALDI) in 1980s dichotomy, since the proteins analyzed reflect gene products increased the applicability of MS to large biological molecules like and metabolic functions",MALDI-TOF mass spectrometry: an emerging technology for microbial identification and diagnosis,2015,Frontiers in Microbiology,10.3389/fmicb.2015.00791,10.3389/fmicb.2015.00791
E43,C43,SUPPORTED,results,result,P3,P3 p2,2,The increasing does not lead to a significant loss of sample integrity,MALDI-TOF mass spectrometry: an emerging technology for microbial identification and diagnosis,2015,Frontiers in Microbiology,10.3389/fmicb.2015.00791,10.3389/fmicb.2015.00791
E44,C44,SUPPORTED,results,result,P3,P3 p4,4,Investigators have evaluated reportedly gave good results in their respective studies,MALDI-TOF mass spectrometry: an emerging technology for microbial identification and diagnosis,2015,Frontiers in Microbiology,10.3389/fmicb.2015.00791,10.3389/fmicb.2015.00791
E45,C45,SUPPORTED,results,result,P3,P3 p4,4,"In direct cell discriminated the species with 100% accuracy (Hettick et al., profiling, a single colony of microorganism is picked and spotted 2008a)",MALDI-TOF mass spectrometry: an emerging technology for microbial identification and diagnosis,2015,Frontiers in Microbiology,10.3389/fmicb.2015.00791,10.3389/fmicb.2015.00791
E46,C46,SUPPORTED,results,result,P3,P3 p4,4,A `preparatory extraction' of microbes with microbial identification has made MALDI-TOF MS a lucrative formic acid (FA) reportedly increased the ability of MALDI-TOF alternative for microbial identification,MALDI-TOF mass spectrometry: an emerging technology for microbial identification and diagnosis,2015,Frontiers in Microbiology,10.3389/fmicb.2015.00791,10.3389/fmicb.2015.00791
E47,C47,SUPPORTED,results,result,P3,P3 p5,5,yielded comparable results with very low false positive rates for detection and identification of enteric bacterial pathogens,MALDI-TOF mass spectrometry: an emerging technology for microbial identification and diagnosis,2015,Frontiers in Microbiology,10.3389/fmicb.2015.00791,10.3389/fmicb.2015.00791
E48,C48,SUPPORTED,results,result,P3,P3 p5,5,"Their results showed that MALDI-TOF MS rapidly and accurately classified Many studies have shown that MALDI-TOF MS equalled or unknown species of the genus Aeromonas, which was suitable for even surpassed the conventional diagnostic methods in speed environmental monitoring",MALDI-TOF mass spectrometry: an emerging technology for microbial identification and diagnosis,2015,Frontiers in Microbiology,10.3389/fmicb.2015.00791,10.3389/fmicb.2015.00791
